siret,nom_entreprise,groupe
34503941600085,ORANGE BUSINESS SERVICES,ORANGE
34800644600234,ERNST ET YOUNG ADVISORY (EY CONSULTING-EY PARTHENON-EY FABERNOVEL),EY
47814756400080,NOMIOS,NOMIOS
49060111900046,SRC SOLUTION,SRC SOLUTION
75042329500021,UBI TRANSPORTS (UBI TRANSPORTS),UBI TRANSPORTS
48817342800035,PROJETLYS (BLUE SOFT EMPOWER),BLUE SOFT
40802471900572,ATOS FRANCE,ATOS
50743129400028,IMADIS GROUPE,IMADIS
75091363400044,SYNACKTIV,SYNACKTIV
82522939600015,STELR,STELR
34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),NEXPUBLICA
42498265000014,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),SCC
44368557300034,ENOVACOM (ENOVACOM - INOVACOM - ANTARES),ENOVACOM
80064362900036,SOFTCORNER,SOFTCORNER
43308006600031,SETICS,SETICS
88252635300025,ORNISEC (ORNISEC),ORNISEC
82409112800036,LM INGENIERIE AUDIOVISUEL (LMI AUDIOVISUEL),LMI AUDIOVISUEL
45216085600046,LEXING,LEXING
42995693100043,STOR SYSTEMES,STOR SYSTEMES
89759205100022,E-CONEX,E-CONEX
42110670900668,SCHNEIDER ELECTRIC FRANCE,SCHNEIDER ELECTRIC
47814756400304,NOMIOS,NOMIOS
34054699300684,NEXPUBLICA FRANCE (NEXPUBLICA),NEXPUBLICA
30516304000119,CIRIL GROUP,CIRIL
42505294100035,NFRANCE CONSEIL,NFRANCE CONSEIL
48421601500053,XPERIS,INDEPENDANT
43390118800063,DELETEC,INDEPENDANT
82747586400340,ORANGE CONCESSIONS (ORANGE CONCESSIONS),ORANGE
38536571300978,INETUM,INETUM
34305956400959,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,SFR
44090956200041,ATEXO,INDEPENDANT
52878432500045,EDIFICE (NEXT EDUCATION) (WE),INDEPENDANT
81193436300581,NXO FRANCE,NXO
51931965100013,SOPRA HR SOFTWARE,SOPRA STERIA
77605646700587,UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP) (UGAP),INDEPENDANT
39117697100144,ON-X GROUPE,ON-X
34054699300577,NEXPUBLICA FRANCE (NEXPUBLICA),NEXPUBLICA
93843503900012,NEXPUBLICA,INDEPENDANT
79300290800044,DIGIMOBEE,INDEPENDANT
44471927200346,FLOWBIRD,INDEPENDANT
70204275500125,CGI FRANCE,CGI
32682006500083,SOPRA STERIA GROUP,SOPRA STERIA
32410382900721,SPIE ICS,INDEPENDANT
41487617700075,MAINCARE SOLUTIONS,INDEPENDANT
70204275500554,CGI FRANCE,CGI
89833132700020,ARTWORK FACTORY (ARTWORK FACTORY),INDEPENDANT
34054699300320,NEXPUBLICA FRANCE (NEXPUBLICA),INDEPENDANT
49116231900058,TERRITOIRES CONSEIL,INDEPENDANT
47976684200724,CAPGEMINI TECHNOLOGY SERVICES,CAPGEMINI
60205531102814,XEROX,INDEPENDANT
33955264800018,SOCIETE INFORMATIQUE & TELEMATIQUE CORSE (SITEC),INDEPENDANT
51266419400168,ORANGE CYBERDEFENSE FRANCE,ORANGE
53953788600027,AGIR TRANSPORT,INDEPENDANT
75580064600373,BERGER LEVRAULT (BERGER LEVRAULT) (BL),INDEPENDANT
37856393600137,OCI OUEST (OCI - OCI OUEST - ILIANE - P44),INDEPENDANT
79328801000085,VISEO,INDEPENDANT
43417341500085,ICRHNET (MY RHNET),INDEPENDANT
38251931200088,ARCHE MC2 (MOBISERV : CITYZEN : MEDISYS),INDEPENDANT
32144795500063,ORESYS,INDEPENDANT
41018706600031,POLE SUD,INDEPENDANT
50975010500108,WORLDLINE FRANCE,INDEPENDANT
41073221800012,INFORMATIQUE RESEAUX MULTIMEDIA (IRM),INDEPENDANT
32066101000233,SEMERU,INDEPENDANT
84312866100033,ROFIM,INDEPENDANT
39210873400071,BETR,INDEPENDANT
48047850200077,ENERGIES DEMAIN,INDEPENDANT
42023354600027,COMPUTER TECHNOLOGIES,INDEPENDANT
34367083200108,VIVATICKET (IREC),INDEPENDANT
33225298000153,AIRBUS PROTECT (APSYS),INDEPENDANT
47955789400017,ACTIMAGE CONSULTING SAS,INDEPENDANT
38536571301018,INETUM,INDEPENDANT
33190208000059,GEO SOFT AQUITAINE,INDEPENDANT
32816124500027,MGDIS (MGDIS),INDEPENDANT
44317013900036,ENTR'OUVERT (ENTR'OUVERT),INDEPENDANT
84978136400021,KAROS FRANCE,INDEPENDANT
51361628400024,AUSTRAL TELECOM SERVICES (ATS),INDEPENDANT
83126240700016,ADN INFORMATIQUE,INDEPENDANT
32315971500438,ADISTA,INDEPENDANT
90211607800012,SCI LES 3 SUISSES,INDEPENDANT
52137069200035,KOESIO NETWORKS (KOESIO),INDEPENDANT
38888534500032,IN LOG,INDEPENDANT
43457068500066,TPF-TECHNIQUE PERFORMANCE FAISABILITE,INDEPENDANT
32954151000049,EFALIA (MAPPING SUITE),INDEPENDANT
42433569300083,MAILEVA,INDEPENDANT
42115915300061,INEO SYSTRANS,INDEPENDANT
33163312300020,SYSTEMES ET TELECOMMUNICATIONS SA,INDEPENDANT
53426867700018,ESPELIA,INDEPENDANT
41210802900254,LUKLA (LUKLA),INDEPENDANT
39909133900156,SULLY GROUP,INDEPENDANT
43299378000043,SOGELINK,INDEPENDANT
75271656300024,NEOLINK,INDEPENDANT
49101169800033,LIBRICIEL,INDEPENDANT
34263913500033,ANTIBIA,INDEPENDANT
30502438200197,JES (JES) (JES),INDEPENDANT
